course_id,title,description,skills,prerequisites,difficulty_level,category,resource_type,duration_hours
PR015,Project: Accessibility Remediation Case Study,"Audit an existing interface against WCAG and remediate the failures you find. You will test with a screen reader, fix contrast and focus order, and document each change. Deliverable is a before-and-after report with conformance notes.","accessibility,WCAG,ARIA,inclusive design,screen readers",UX009,intermediate,UX/UI Design,project,16
PR016,Project: End-to-End Service Blueprint,"Map a multi-channel service and design an intervention at its weakest point. You will produce a journey map, a blueprint including backstage actors, and a pilot plan. Deliverable is a blueprint plus a measurable pilot proposal.","service design,journey mapping,service blueprinting,co-design",UX011,advanced,UX/UI Design,project,22
PR017,Project: Content and SEO Plan for a Niche Site,"Produce a three-month content and SEO plan for a niche site and publish the first pieces. You will do keyword research, map search intent to content, and set measurable targets. Deliverable is a content calendar plus two published articles.","SEO,content marketing,keyword research,digital marketing",BM001,beginner,Business/Marketing,project,12
PR018,Project: Marketing Analytics Dashboard,"Build a dashboard that attributes revenue to channels and explains what to do next. You will configure event tracking, model the funnel, and report acquisition cost by channel. Deliverable is a live dashboard plus a written read-out.","Google Analytics,GA4,attribution,dashboards,business analytics,conversion optimisation","BM002,BM007",intermediate,Business/Marketing,project,16
PR019,Project: SaaS Financial Model,"Build a driver-based three-statement model for a SaaS business with a scenario toggle. You will model cohort retention, CAC payback and runway, then stress-test the assumptions. Deliverable is a documented model plus a one-page summary.","financial modelling,Excel,forecasting,valuation,DCF",BM009,intermediate,Business/Marketing,project,20
PR020,Project: Run a Conversion Experiment,"Design, run and analyse a real conversion experiment end to end. You will form a hypothesis, size the test, run it, and report a decision with confidence. Deliverable is an experiment write-up including what you would do next.","CRO,growth hacking,A/B testing,landing pages,experimentation",BM008,intermediate,Business/Marketing,project,18
PR021,Project: Go-to-Market Strategy,"Build a defensible go-to-market plan for a new product entering a contested market. You will segment the market, define positioning, and model channel economics. Deliverable is a strategy document plus a launch plan.","brand strategy,positioning,strategy,competitive analysis,messaging","BM011,BM013",advanced,Business/Marketing,project,24
PR022,Project: Containerise and Deploy a Web App,"Take an existing application from local-only to running in the cloud. You will write a multi-stage Dockerfile, push to a registry, and deploy behind a load balancer. Deliverable is a reachable URL plus the deployment steps.","Docker,containers,Dockerfile,AWS,EC2,S3,cloud computing","CD003,CD005",beginner,Cloud/DevOps,project,12
PR023,Project: Infrastructure as Code with Terraform,"Reproduce a complete environment from code, with no console clicking. You will write reusable modules, manage remote state, and prove the environment rebuilds cleanly. Deliverable is a Terraform repository plus a teardown and rebuild log.","Terraform,IaC,AWS,infrastructure,HCL,modules",CD007,intermediate,Cloud/DevOps,project,18
PR024,Project: CI/CD Pipeline with Observability,"Build a pipeline that tests, builds and deploys on every merge, and tells you when it breaks. You will add gated stages, instrument the service, and wire up dashboards and alerts. Deliverable is a working pipeline plus an alert that fires on a seeded failure.","CI/CD,GitHub Actions,automation,deployment,observability,Prometheus,Grafana","CD008,CD010",intermediate,Cloud/DevOps,project,22
PR025,Project: Multi-Region Highly Available Architecture,"Design and document an architecture that survives the loss of an entire region. You will choose replication strategies, define RTO and RPO targets, and cost the design. Deliverable is an architecture decision record plus a failover runbook.","AWS,architecture,high availability,VPC,auto-scaling,multi-cloud,resilience","CD009,CD013",advanced,Cloud/DevOps,project,30
AS001,Assessment: Python and Data Handling,"Confirm you can load, reshape and clean a dataset unaided. Mixed multiple-choice and short coding tasks against an unseen dataset.","Python,pandas,data cleaning,data types,functions","DS001,DS003",beginner,Data Science,assessment,1
AS002,Assessment: SQL Proficiency,"Write queries against an unfamiliar schema under time pressure. Covers joins, grouping, subqueries and window functions.","SQL,joins,aggregations,querying,databases",DS005,beginner,Data Science,assessment,1
AS003,Assessment: Statistics and Experimentation,"Interpret experiment results and identify invalid conclusions. Covers hypothesis testing, statistical power, p-values and common traps.","statistics,hypothesis testing,A/B testing,experimentation,p-value","DS002,DS012",intermediate,Data Science,assessment,2
AS004,Assessment: Machine Learning Competency,"Diagnose and repair a deliberately flawed modelling pipeline. Covers leakage, imbalanced classes, validation strategy and metric selection.","machine learning,scikit-learn,model evaluation,feature engineering,classification","DS007,DS009",intermediate,Data Science,assessment,2
AS005,Assessment: MLOps Production Readiness,"Review a model deployment against a production readiness checklist. Covers reproducibility, monitoring, rollback and drift response.","MLOps,model deployment,drift detection,Docker,MLflow",DS015,advanced,Data Science,assessment,2
AS006,Assessment: Frontend Fundamentals,"Reproduce a given layout and fix scripted bugs in provided code. Covers semantic HTML, responsive CSS and core JavaScript behaviour.","HTML,CSS,JavaScript,responsive design,DOM","WD001,WD002",beginner,Web Development,assessment,1
AS007,Assessment: React Component Design,"Refactor a poorly structured component tree and justify each change. Covers state placement, hook rules, keys and re-render behaviour.","React,components,hooks,JSX",WD004,beginner,Web Development,assessment,1
AS008,Assessment: Backend and API Design,"Critique an existing API and propose a versioned redesign. Covers resource modelling, status codes, pagination and idempotency.","REST,API design,Node.js,Express,OpenAPI,versioning","WD005,WD010",intermediate,Web Development,assessment,2
AS009,Assessment: Web Security Audit,"Find and rank the vulnerabilities in a deliberately insecure application. Covers XSS, CSRF, injection and broken authentication.","web security,OWASP,XSS,CSRF,SQL injection,authentication",WD016,intermediate,Web Development,assessment,2
AS010,Assessment: UX Research Methods,"Choose and defend the right research method for several scenarios. Covers method selection, sample size, bias and synthesis.","user research,usability testing,interviews,UX design,personas","UX001,UX004",beginner,UX/UI Design,assessment,1
AS011,Assessment: Visual and Interaction Critique,"Critique a set of screens against stated design principles. Covers hierarchy, typography, colour contrast and interaction feedback.","visual design,typography,color theory,hierarchy,Figma,interaction design","UX002,UX003",beginner,UX/UI Design,assessment,1
AS012,Assessment: Design Systems,"Resolve component API and token structure decisions for a growing system. Covers naming, variants, versioning and adoption strategy.","design systems,components,design tokens,documentation",UX007,intermediate,UX/UI Design,assessment,2
AS013,Assessment: Accessibility Conformance,"Evaluate screens against WCAG success criteria and cite the specific failures. Covers contrast, keyboard operability, ARIA misuse and focus management.","accessibility,WCAG,ARIA,inclusive design,screen readers",UX009,intermediate,UX/UI Design,assessment,2
AS014,Assessment: Digital Marketing Channels,"Allocate a fixed budget across channels and defend the split. Covers channel economics, organic versus paid trade-offs and funnel stages.","digital marketing,SEO,SEM,content marketing,email marketing",BM001,beginner,Business/Marketing,assessment,1
AS015,Assessment: Analytics and Attribution,"Diagnose a broken analytics setup and correct the attribution model. Covers event design, attribution windows and misleading metrics.","Google Analytics,GA4,attribution,conversion optimisation,business analytics",BM007,intermediate,Business/Marketing,assessment,2
AS016,Assessment: Financial Modelling,"Audit a financial model for broken logic and unsupportable assumptions. Covers driver structure, circular references and scenario design.","financial modelling,Excel,forecasting,valuation,DCF",BM009,intermediate,Business/Marketing,assessment,2
AS017,Assessment: Product Strategy Case,"Work a product strategy case and commit to a prioritisation decision. Covers segmentation, positioning, trade-offs and success metrics.","product management,strategy,OKRs,competitive analysis,roadmapping","BM010,BM013",advanced,Business/Marketing,assessment,2
AS018,Assessment: Linux and Containers,"Diagnose a broken container and a misbehaving Linux service. Covers shell fluency, permissions, image layers and networking basics.","Linux,bash,command line,Docker,containers,Dockerfile","CD002,CD003",beginner,Cloud/DevOps,assessment,1
AS019,Assessment: Kubernetes Operations,"Restore a failing workload in a cluster you have not seen before. Covers scheduling failures, probes, resource limits and service routing.","Kubernetes,containers,orchestration,Helm,microservices",CD006,intermediate,Cloud/DevOps,assessment,2
AS020,Assessment: Cloud Architecture Design,"Review a proposed architecture and identify its failure modes and cost risks. Covers availability, scaling, network design and least-privilege access.","AWS,architecture,VPC,auto-scaling,high availability,IAM",CD009,advanced,Cloud/DevOps,assessment,2
